id;user_id;action;entity_type;entity_id;old_values;new_values;ip_address;user_agent;created_at
97fbe3bd-5621-4bf3-8bcc-73ca4d25c504;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 02:10:52.043155+00
b8afd2ce-8e34-48fe-af84-2cb59c9c9942;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 02:12:45.090348+00
910045fb-bf25-44c7-baa6-0185fd841cdc;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 02:14:02.772335+00
b55e52b2-94cf-46c0-a922-ec21d5819da1;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 08:03:18.40555+00
add2dfa3-a42c-4fb2-821b-fdd9d2e27e39;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 08:04:29.761414+00
a541e8f5-72c6-4801-84eb-ee0211cc59fd;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 08:05:31.711264+00
38d2a985-f4cc-4329-a473-f130f7f2eed4;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 08:06:42.276322+00
0b93026a-68c9-4236-931d-3c551327b636;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 08:07:50.311813+00
25919c99-9b43-4562-8ccc-9b84f1de25d1;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 08:08:50.553247+00
916c04d9-baca-4964-8f6d-5dd1436252c6;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 08:10:42.983325+00
48aed043-95cb-4f84-ae65-a9301e2673b5;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 08:11:50.877019+00
e35f1b07-eab4-401f-aa86-086cae9cda1d;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 14:05:12.544077+00
bda0249a-467d-493b-9eb8-3788344a5716;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 14:06:27.802471+00
7ff6d1cd-f68f-43eb-a050-dfc8a1d165ec;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 14:07:30.586853+00
599300de-e3b2-4257-b448-fb641e852a2a;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 14:08:40.269287+00
ebe6d4d1-fd4f-4b13-854f-5833626588f7;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 14:09:52.174771+00
82852a84-88d2-4f4a-9b41-d40a0b5528c2;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 14:11:05.658089+00
bce1f5d0-4f27-4dd4-96e2-1aecf2a2d304;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 14:12:10.864396+00
0d9c30f4-e23e-4553-bc3e-45b3c9e53bd8;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 14:13:19.402983+00
1c621a25-82f3-4e07-82f5-6826274d9dff;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 14:14:53.22698+00
29f2fe3a-b61a-4c4a-9f5a-525d0196f8e1;;workflow_event_received;workflow_event;;;"{""event_type"":""signal_detected"",""outcome_type"":""trigger_detected"",""source_platform"":""lindy.ai""}";;;2026-02-11 19:35:25.488106+00
81993e38-7853-4bd5-9b08-93d75fcedfe9;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 20:03:25.310471+00
0281a44a-d15c-49d0-a5ab-379010130cb9;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 20:04:36.589715+00
